Book,huff,digr256,digr512,digr1024,Z
booksconcatenated.txt,0.560494584,0.5652089455,0.5749643832,0.6224565752,0.3885071905
COSC351Book9.txt,0.5534413092,0.5642071934,0.5736630085,0.6275231103,0.3986813403
COSC351Book8.txt,0.5551739522,0.5537669181,0.5621748048,0.610779518,0.4033066622
COSC351Book1.txt,0.5770561942,0.5818505709,0.5891774912,0.6299916142,0.3701997501
COSC351Book3.txt,0.559509614,0.5607416534,0.5693236725,0.6177350283,0.371715387
COSC351Book2.txt,0.6133744026,0.5959994133,0.6015364306,0.6279992177,0.4422218963
COSC351Book11.txt,0.5760216416,0.5817144501,0.5877749378,0.6315784799,0.4363853063
COSC351Book6.txt,0.5377800761,0.5502413228,0.5707676799,0.6261924883,0.3297937415
COSC351Book7.txt,0.5858161249,0.5913031266,0.5928237961,0.6334992833,0.4487791058
COSC351Book10.txt,0.5525951685,0.5618427077,0.5748724129,0.6279153145,0.3756025881
COSC351Book12.txt,0.5692011054,0.5791927178,0.5809537813,0.6294816057,0.4368339621
COSC351Book5.txt,0.56774605,0.5690558481,0.5726505925,0.6154542462,0.429318905
COSC351Book4.txt,0.5532878152,0.5533734425,0.5613407293,0.61096904,0.401855319
AvgExcludingConcat,0.5667502878,0.5702741137,0.5780882781,0.6240932455,0.403724497
